код_модуль,код_курс,код_сотрудник,оценка_курс,отзыв
модуль_8,курс_1,студент_8,4,"Преподаватели супер, материал изложен доступно."
модуль_10,курс_1,студент_8,1,"Очень скучно, мало полезной информации."
модуль_2,курс_1,студент_9,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_6,курс_1,студент_9,2,Преподаватели не отвечают на вопросы.
модуль_7,курс_1,студент_9,3,"Средний курс, ожидал немного большего."
модуль_1,курс_1,студент_10,4,Материалы курса на высшем уровне.
модуль_6,курс_1,студент_10,3,Материалы курса иногда тяжело воспринимаются.
модуль_10,курс_1,студент_10,2,Курс не оправдал ожиданий.
модуль_3,курс_1,студент_11,5,"Отличный курс, много полезной информации."
модуль_5,курс_1,студент_11,2,"Материалы устарели, нуждаются в обновлении."
модуль_7,курс_1,студент_11,1,"Очень скучно, мало полезной информации."
модуль_8,курс_1,студент_11,1,Организация учебного процесса оставляет желать лучшего.
модуль_3,курс_1,студент_12,3,"В целом неплохо, но есть куда расти."
модуль_5,курс_1,студент_12,2,Преподаватели не отвечают на вопросы.
модуль_10,курс_1,студент_12,1,"Не понравился курс, материал плохо подан."
модуль_1,курс_1,студент_13,4,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_13,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_6,курс_1,студент_13,1,"Не понравился курс, материал плохо подан."
модуль_9,курс_1,студент_13,2,"Не понравился курс, материал плохо подан."
модуль_3,курс_1,студент_14,3,Материалы курса иногда тяжело воспринимаются.
модуль_5,курс_1,студент_14,2,"Очень скучно, мало полезной информации."
модуль_7,курс_1,студент_14,1,"Не понравился курс, материал плохо подан."
модуль_8,курс_1,студент_14,2,"Материалы устарели, нуждаются в обновлении."
модуль_9,курс_1,студент_14,5,"Замечательный курс, все четко и по делу."
модуль_2,курс_1,студент_15,1,Преподаватели не отвечают на вопросы.
модуль_3,курс_1,студент_15,3,"Материал неплохой, но иногда скучновато."
модуль_4,курс_1,студент_15,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_8,курс_1,студент_15,1,"Не понравился курс, материал плохо подан."
модуль_2,курс_1,студент_16,3,"Достаточно информативно, но не хватило времени на практику."
модуль_4,курс_1,студент_16,3,"Достаточно информативно, но не хватило времени на практику."
модуль_8,курс_1,студент_16,3,"Достаточно информативно, но не хватило времени на практику."
модуль_9,курс_1,студент_16,1,"Материалы устарели, нуждаются в обновлении."
модуль_10,курс_1,студент_16,3,Материалы курса иногда тяжело воспринимаются.
модуль_3,курс_1,студент_17,3,"Нормально, но хотелось бы больше интерактива."
модуль_4,курс_1,студент_17,5,"Преподаватели супер, материал изложен доступно."
модуль_6,курс_1,студент_17,1,Преподаватели не отвечают на вопросы.
модуль_7,курс_1,студент_17,4,Отличная организация учебного процесса.
модуль_1,курс_1,студент_18,3,"Достаточно информативно, но не хватило времени на практику."
модуль_3,курс_1,студент_18,5,Отличная организация учебного процесса.
модуль_5,курс_1,студент_18,2,"Не понравился курс, материал плохо подан."
модуль_6,курс_1,студент_18,5,"Преподаватели супер, материал изложен доступно."
модуль_7,курс_1,студент_18,2,Преподаватели не отвечают на вопросы.
модуль_9,курс_1,студент_18,3,Материалы курса иногда тяжело воспринимаются.
модуль_1,курс_1,студент_19,4,Преподаватели дают много полезных советов.
модуль_2,курс_1,студент_19,1,Материалы курса плохо структурированы.
модуль_4,курс_1,студент_19,3,Материалы курса иногда тяжело воспринимаются.
модуль_7,курс_1,студент_19,4,"Отличный курс, много полезной информации."
модуль_8,курс_1,студент_19,4,"Много практических занятий, что очень полезно."
модуль_9,курс_1,студент_19,2,"Материалы устарели, нуждаются в обновлении."
модуль_3,курс_1,студент_20,1,"Слишком много теории, мало практики."
модуль_5,курс_1,студент_20,4,"Курс превзошел мои ожидания, узнал много нового."
модуль_6,курс_1,студент_20,5,"Замечательный курс, все четко и по делу."
модуль_10,курс_1,студент_20,1,"Очень разочарован, зря потратил время."
модуль_3,курс_1,студент_21,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_1,курс_1,студент_22,5,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_22,3,"Средний курс, ожидал немного большего."
модуль_4,курс_1,студент_23,3,"В целом неплохо, но есть куда расти."
модуль_5,курс_1,студент_23,4,Отличная организация учебного процесса.
модуль_7,курс_1,студент_23,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_8,курс_1,студент_23,4,Преподаватели дают много полезных советов.
модуль_1,курс_1,студент_24,3,Материалы курса иногда тяжело воспринимаются.
модуль_4,курс_1,студент_24,1,"Материалы устарели, нуждаются в обновлении."
модуль_5,курс_1,студент_24,4,"Много практических занятий, что очень полезно."
модуль_7,курс_1,студент_24,2,"Не понравился курс, материал плохо подан."
модуль_8,курс_1,студент_24,5,Отличная организация учебного процесса.
модуль_9,курс_1,студент_24,3,"Курс неплохой, но слишком много теории."
модуль_10,курс_1,студент_24,4,"Курс превзошел мои ожидания, узнал много нового."
модуль_1,курс_1,студент_25,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_3,курс_1,студент_25,3,"Курс неплохой, но слишком много теории."
модуль_6,курс_1,студент_25,3,"Достаточно информативно, но не хватило времени на практику."
модуль_8,курс_1,студент_25,2,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_25,1,"Очень скучно, мало полезной информации."
модуль_1,курс_1,студент_26,3,"Неплохо, но можно было бы улучшить организацию."
модуль_3,курс_1,студент_26,3,"Неплохо, но можно было бы улучшить организацию."
модуль_5,курс_1,студент_26,4,"Отличный курс, много полезной информации."
модуль_8,курс_1,студент_26,3,"Достаточно информативно, но не хватило времени на практику."
модуль_4,курс_1,студент_27,1,"Очень скучно, мало полезной информации."
модуль_5,курс_1,студент_27,5,"Отличный курс, много полезной информации."
модуль_9,курс_1,студент_27,1,Курс не оправдал ожиданий.
модуль_2,курс_1,студент_28,2,Преподаватели не отвечают на вопросы.
модуль_3,курс_1,студент_28,2,"Очень разочарован, зря потратил время."
модуль_4,курс_1,студент_28,3,"Курс неплохой, но слишком много теории."
модуль_7,курс_1,студент_28,5,Очень хорошие учебные материалы.
модуль_9,курс_1,студент_28,2,"Очень скучно, мало полезной информации."
модуль_1,курс_1,студент_29,1,"Слишком много теории, мало практики."
модуль_2,курс_1,студент_29,3,"Средний курс, ожидал немного большего."
модуль_3,курс_1,студент_29,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_5,курс_1,студент_29,4,"Отличный курс, много полезной информации."
модуль_7,курс_1,студент_29,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_8,курс_1,студент_29,5,Отличная организация учебного процесса.
модуль_10,курс_1,студент_29,1,Организация учебного процесса оставляет желать лучшего.
модуль_1,курс_1,студент_30,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_2,курс_1,студент_30,4,"Отличный курс, много полезной информации."
модуль_3,курс_1,студент_30,1,Материалы курса плохо структурированы.
модуль_4,курс_1,студент_30,3,"Неплохо, но можно было бы улучшить организацию."
модуль_7,курс_1,студент_30,3,"Нормально, но хотелось бы больше интерактива."
модуль_9,курс_1,студент_30,2,Преподаватели не смогли заинтересовать.
модуль_10,курс_1,студент_30,3,"Достаточно информативно, но не хватило времени на практику."
модуль_1,курс_1,студент_31,1,"Очень разочарован, зря потратил время."
модуль_3,курс_1,студент_31,1,"Слишком много теории, мало практики."
модуль_4,курс_1,студент_31,4,"Много практических занятий, что очень полезно."
модуль_6,курс_1,студент_31,2,"Очень скучно, мало полезной информации."
модуль_8,курс_1,студент_31,3,"Материал неплохой, но иногда скучновато."
модуль_1,курс_1,студент_32,3,Материалы курса иногда тяжело воспринимаются.
модуль_4,курс_1,студент_32,4,"Замечательный курс, все четко и по делу."
модуль_5,курс_1,студент_32,1,Организация учебного процесса оставляет желать лучшего.
модуль_9,курс_1,студент_32,4,"Отличный курс, много полезной информации."
модуль_10,курс_1,студент_32,4,Очень хорошие учебные материалы.
модуль_1,курс_1,студент_33,5,Отличная организация учебного процесса.
модуль_3,курс_1,студент_33,5,"Много практических занятий, что очень полезно."
модуль_5,курс_1,студент_33,2,Курс не оправдал ожиданий.
модуль_7,курс_1,студент_33,2,"Не понравился курс, материал плохо подан."
модуль_8,курс_1,студент_33,1,"Слишком много теории, мало практики."
модуль_1,курс_1,студент_34,2,"Материалы устарели, нуждаются в обновлении."
модуль_2,курс_1,студент_34,3,"В целом неплохо, но есть куда расти."
модуль_4,курс_1,студент_34,3,"Неплохо, но можно было бы улучшить организацию."
модуль_5,курс_1,студент_34,2,Преподаватели не отвечают на вопросы.
модуль_6,курс_1,студент_34,4,"Преподаватели супер, материал изложен доступно."
модуль_7,курс_1,студент_34,3,Материалы курса иногда тяжело воспринимаются.
модуль_8,курс_1,студент_34,5,Преподаватели дают много полезных советов.
модуль_10,курс_1,студент_34,1,Преподаватели не отвечают на вопросы.
модуль_3,курс_1,студент_35,3,"В целом неплохо, но есть куда расти."
модуль_4,курс_1,студент_35,3,"Нормально, но хотелось бы больше интерактива."
модуль_5,курс_1,студент_35,1,Курс не оправдал ожиданий.
модуль_7,курс_1,студент_35,3,"Курс неплохой, но слишком много теории."
модуль_10,курс_1,студент_35,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_2,курс_1,студент_36,3,"Курс неплохой, но слишком много теории."
модуль_3,курс_1,студент_36,1,"Слишком много теории, мало практики."
модуль_4,курс_1,студент_36,1,"Материалы устарели, нуждаются в обновлении."
модуль_6,курс_1,студент_36,2,Преподаватели не смогли заинтересовать.
модуль_9,курс_1,студент_36,3,"Нормально, но хотелось бы больше интерактива."
модуль_10,курс_1,студент_36,3,"В целом неплохо, но есть куда расти."
модуль_4,курс_1,студент_37,3,Материалы курса иногда тяжело воспринимаются.
модуль_5,курс_1,студент_37,2,Материалы курса плохо структурированы.
модуль_9,курс_1,студент_37,1,Преподаватели не смогли заинтересовать.
модуль_1,курс_1,студент_38,2,Курс не оправдал ожиданий.
модуль_5,курс_1,студент_38,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_7,курс_1,студент_38,3,"Курс неплохой, но слишком много теории."
модуль_9,курс_1,студент_38,1,"Очень разочарован, зря потратил время."
модуль_10,курс_1,студент_38,3,"В целом неплохо, но есть куда расти."
модуль_3,курс_1,студент_39,4,Материалы курса на высшем уровне.
модуль_1,курс_1,студент_40,2,Организация учебного процесса оставляет желать лучшего.
модуль_3,курс_1,студент_40,5,Отличная организация учебного процесса.
модуль_4,курс_1,студент_40,4,Отличная организация учебного процесса.
модуль_8,курс_1,студент_40,5,"Замечательный курс, все четко и по делу."
модуль_9,курс_1,студент_40,3,"Неплохо, но можно было бы улучшить организацию."
модуль_10,курс_1,студент_40,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_1,курс_1,студент_41,2,Преподаватели не смогли заинтересовать.
модуль_4,курс_1,студент_41,1,Материалы курса плохо структурированы.
модуль_5,курс_1,студент_41,3,"В целом неплохо, но есть куда расти."
модуль_7,курс_1,студент_41,1,Курс не оправдал ожиданий.
модуль_8,курс_1,студент_41,5,"Отличный курс, много полезной информации."
модуль_9,курс_1,студент_41,2,Преподаватели не отвечают на вопросы.
модуль_1,курс_1,студент_42,4,Материалы курса на высшем уровне.
модуль_2,курс_1,студент_42,2,"Слишком много теории, мало практики."
модуль_3,курс_1,студент_42,5,"Много практических занятий, что очень полезно."
модуль_4,курс_1,студент_42,1,Преподаватели не отвечают на вопросы.
модуль_5,курс_1,студент_42,3,"В целом неплохо, но есть куда расти."
модуль_6,курс_1,студент_42,4,Отличная организация учебного процесса.
модуль_8,курс_1,студент_42,3,Материалы курса иногда тяжело воспринимаются.
модуль_9,курс_1,студент_42,1,Материалы курса плохо структурированы.
модуль_8,курс_1,студент_43,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_2,курс_1,студент_44,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_4,курс_1,студент_44,1,Материалы курса плохо структурированы.
модуль_7,курс_1,студент_44,2,"Не понравился курс, материал плохо подан."
модуль_9,курс_1,студент_44,3,"В целом неплохо, но есть куда расти."
модуль_10,курс_1,студент_44,2,Курс не оправдал ожиданий.
модуль_1,курс_1,студент_45,2,Курс не оправдал ожиданий.
модуль_3,курс_1,студент_45,5,"Отличный курс, много полезной информации."
модуль_4,курс_1,студент_45,3,"Нормально, но хотелось бы больше интерактива."
модуль_9,курс_1,студент_45,1,Преподаватели не отвечают на вопросы.
модуль_10,курс_1,студент_45,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_3,курс_1,студент_46,1,Организация учебного процесса оставляет желать лучшего.
модуль_4,курс_1,студент_46,4,Очень хорошие учебные материалы.
модуль_6,курс_1,студент_46,1,Преподаватели не смогли заинтересовать.
модуль_7,курс_1,студент_46,3,"Средний курс, ожидал немного большего."
модуль_10,курс_1,студент_46,3,"Средний курс, ожидал немного большего."
модуль_2,курс_1,студент_47,4,"Много практических занятий, что очень полезно."
модуль_4,курс_1,студент_47,2,Материалы курса плохо структурированы.
модуль_6,курс_1,студент_47,1,Преподаватели не отвечают на вопросы.
модуль_9,курс_1,студент_47,3,"Неплохо, но можно было бы улучшить организацию."
модуль_3,курс_1,студент_48,4,Материалы курса на высшем уровне.
модуль_4,курс_1,студент_48,4,Очень хорошие учебные материалы.
модуль_5,курс_1,студент_48,3,"В целом неплохо, но есть куда расти."
модуль_6,курс_1,студент_48,1,Организация учебного процесса оставляет желать лучшего.
модуль_9,курс_1,студент_48,2,"Очень скучно, мало полезной информации."
модуль_2,курс_1,студент_49,5,"Отличный курс, много полезной информации."
модуль_4,курс_1,студент_49,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_8,курс_1,студент_49,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_10,курс_1,студент_49,2,Курс не оправдал ожиданий.
модуль_1,курс_1,студент_50,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_5,курс_1,студент_50,2,"Очень скучно, мало полезной информации."
модуль_9,курс_1,студент_50,2,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_50,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_1,курс_1,студент_51,5,"Преподаватели супер, материал изложен доступно."
модуль_3,курс_1,студент_51,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_9,курс_1,студент_51,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_10,курс_1,студент_51,2,Курс не оправдал ожиданий.
модуль_1,курс_1,студент_52,1,Преподаватели не смогли заинтересовать.
модуль_3,курс_1,студент_52,5,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_52,3,Материалы курса иногда тяжело воспринимаются.
модуль_5,курс_1,студент_52,2,Организация учебного процесса оставляет желать лучшего.
модуль_6,курс_1,студент_52,4,Очень хорошие учебные материалы.
модуль_10,курс_1,студент_52,4,"Очень понравилось, буду рекомендовать коллегам."
модуль_1,курс_1,студент_53,5,Материалы курса на высшем уровне.
модуль_3,курс_1,студент_53,2,"Слишком много теории, мало практики."
модуль_6,курс_1,студент_53,1,"Не понравился курс, материал плохо подан."
модуль_10,курс_1,студент_53,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_4,курс_1,студент_54,3,Материалы курса иногда тяжело воспринимаются.
модуль_6,курс_1,студент_54,2,"Очень разочарован, зря потратил время."
модуль_8,курс_1,студент_54,1,"Материалы устарели, нуждаются в обновлении."
модуль_10,курс_1,студент_54,3,Материалы курса иногда тяжело воспринимаются.
модуль_1,курс_1,студент_55,2,Преподаватели не смогли заинтересовать.
модуль_2,курс_1,студент_55,5,Материалы курса на высшем уровне.
модуль_3,курс_1,студент_55,1,Преподаватели не смогли заинтересовать.
модуль_5,курс_1,студент_55,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_8,курс_1,студент_55,3,Материалы курса иногда тяжело воспринимаются.
модуль_9,курс_1,студент_55,3,"Достаточно информативно, но не хватило времени на практику."
модуль_10,курс_1,студент_55,2,Материалы курса плохо структурированы.
модуль_2,курс_1,студент_56,4,Преподаватели дают много полезных советов.
модуль_4,курс_1,студент_56,4,Отличная организация учебного процесса.
модуль_6,курс_1,студент_56,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_9,курс_1,студент_56,2,Курс не оправдал ожиданий.
модуль_10,курс_1,студент_56,3,"Курс неплохой, но слишком много теории."
модуль_1,курс_1,студент_57,1,"Не понравился курс, материал плохо подан."
модуль_3,курс_1,студент_57,2,"Очень разочарован, зря потратил время."
модуль_7,курс_1,студент_57,4,Материалы курса на высшем уровне.
модуль_3,курс_1,студент_58,2,Организация учебного процесса оставляет желать лучшего.
модуль_5,курс_1,студент_58,4,"Отличный курс, много полезной информации."
модуль_9,курс_1,студент_58,5,Очень хорошие учебные материалы.
модуль_10,курс_1,студент_58,3,Материалы курса иногда тяжело воспринимаются.
модуль_1,курс_1,студент_59,4,"Замечательный курс, все четко и по делу."
модуль_2,курс_1,студент_59,1,"Слишком много теории, мало практики."
модуль_6,курс_1,студент_59,4,"Очень понравилось, буду рекомендовать коллегам."
модуль_1,курс_1,студент_60,4,"Отличный курс, много полезной информации."
модуль_8,курс_1,студент_60,2,Преподаватели не отвечают на вопросы.
модуль_1,курс_1,студент_61,3,"В целом неплохо, но есть куда расти."
модуль_2,курс_1,студент_61,1,Материалы курса плохо структурированы.
модуль_3,курс_1,студент_61,4,"Отличный курс, много полезной информации."
модуль_6,курс_1,студент_61,1,Преподаватели не смогли заинтересовать.
модуль_7,курс_1,студент_61,5,"Замечательный курс, все четко и по делу."
модуль_9,курс_1,студент_61,2,"Не понравился курс, материал плохо подан."
модуль_1,курс_1,студент_62,2,Курс не оправдал ожиданий.
модуль_2,курс_1,студент_62,3,"В целом неплохо, но есть куда расти."
модуль_4,курс_1,студент_62,3,Материалы курса иногда тяжело воспринимаются.
модуль_6,курс_1,студент_62,4,"Очень понравилось, буду рекомендовать коллегам."
модуль_7,курс_1,студент_62,4,"Курс превзошел мои ожидания, узнал много нового."
модуль_9,курс_1,студент_62,5,"Отличный курс, много полезной информации."
модуль_1,курс_1,студент_63,1,Материалы курса плохо структурированы.
модуль_2,курс_1,студент_63,1,"Слишком много теории, мало практики."
модуль_3,курс_1,студент_63,2,"Материалы устарели, нуждаются в обновлении."
модуль_4,курс_1,студент_63,1,Курс не оправдал ожиданий.
модуль_5,курс_1,студент_63,2,Курс не оправдал ожиданий.
модуль_7,курс_1,студент_63,2,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_63,3,"Достаточно информативно, но не хватило времени на практику."
модуль_6,курс_1,студент_64,4,"Отличный курс, много полезной информации."
модуль_7,курс_1,студент_64,3,Материалы курса иногда тяжело воспринимаются.
модуль_10,курс_1,студент_64,5,"Курс превзошел мои ожидания, узнал много нового."
модуль_1,курс_1,студент_65,4,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_65,1,"Слишком много теории, мало практики."
модуль_7,курс_1,студент_65,4,Отличная организация учебного процесса.
модуль_9,курс_1,студент_65,1,Преподаватели не отвечают на вопросы.
модуль_10,курс_1,студент_65,1,Преподаватели не отвечают на вопросы.
модуль_1,курс_1,студент_66,4,"Курс превзошел мои ожидания, узнал много нового."
модуль_6,курс_1,студент_66,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_8,курс_1,студент_66,4,Преподаватели дают много полезных советов.
модуль_9,курс_1,студент_66,1,Материалы курса плохо структурированы.
модуль_10,курс_1,студент_66,3,"Неплохо, но можно было бы улучшить организацию."
модуль_1,курс_1,студент_67,1,Курс не оправдал ожиданий.
модуль_2,курс_1,студент_67,2,"Очень разочарован, зря потратил время."
модуль_3,курс_1,студент_67,1,"Слишком много теории, мало практики."
модуль_4,курс_1,студент_67,3,"В целом неплохо, но есть куда расти."
модуль_6,курс_1,студент_67,2,"Очень скучно, мало полезной информации."
модуль_7,курс_1,студент_67,5,"Очень понравилось, буду рекомендовать коллегам."
модуль_9,курс_1,студент_67,2,"Очень скучно, мало полезной информации."
модуль_10,курс_1,студент_67,3,"В целом неплохо, но есть куда расти."
модуль_4,курс_1,студент_68,5,Очень хорошие учебные материалы.
модуль_3,курс_1,студент_69,2,Курс не оправдал ожиданий.
модуль_4,курс_1,студент_69,5,"Замечательный курс, все четко и по делу."
модуль_5,курс_1,студент_69,3,"Неплохо, но можно было бы улучшить организацию."
модуль_7,курс_1,студент_69,2,Курс не оправдал ожиданий.
модуль_9,курс_1,студент_69,3,"В целом неплохо, но есть куда расти."
модуль_2,курс_1,студент_70,3,"Учебные материалы хорошие, но местами не хватало примеров."
модуль_3,курс_1,студент_70,1,"Не понравился курс, материал плохо подан."
модуль_4,курс_1,студент_70,2,Преподаватели не отвечают на вопросы.
модуль_5,курс_1,студент_70,3,"Достаточно информативно, но не хватило времени на практику."
модуль_6,курс_1,студент_70,4,Преподаватели дают много полезных советов.
модуль_7,курс_1,студент_70,1,"Материалы устарели, нуждаются в обновлении."
модуль_10,курс_1,студент_70,5,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_71,1,Материалы курса плохо структурированы.
модуль_5,курс_1,студент_71,4,"Очень понравилось, буду рекомендовать коллегам."
модуль_6,курс_1,студент_71,3,"Средний курс, ожидал немного большего."
модуль_10,курс_1,студент_71,5,Преподаватели дают много полезных советов.
модуль_1,курс_1,студент_72,4,"Много практических занятий, что очень полезно."
модуль_2,курс_1,студент_72,1,Курс не оправдал ожиданий.
модуль_5,курс_1,студент_72,1,"Материалы устарели, нуждаются в обновлении."
модуль_6,курс_1,студент_72,3,"Средний курс, ожидал немного большего."
модуль_7,курс_1,студент_72,1,"Слишком много теории, мало практики."
модуль_3,курс_1,студент_73,1,"Очень скучно, мало полезной информации."
модуль_4,курс_1,студент_73,5,Материалы курса на высшем уровне.
модуль_5,курс_1,студент_73,4,"Много практических занятий, что очень полезно."
модуль_6,курс_1,студент_73,3,"Курс хороший, но можно было бы добавить больше практики."
модуль_7,курс_1,студент_73,3,"Средний курс, ожидал немного большего."
модуль_8,курс_1,студент_73,5,Преподаватели дают много полезных советов.
модуль_1,курс_1,студент_74,3,"Курс неплохой, но слишком много теории."
модуль_3,курс_1,студент_74,5,"Замечательный курс, все четко и по делу."
модуль_4,курс_1,студент_74,2,"Очень скучно, мало полезной информации."
модуль_5,курс_1,студент_74,3,"Материал неплохой, но иногда скучновато."
модуль_8,курс_1,студент_74,2,"Очень разочарован, зря потратил время."
модуль_9,курс_1,студент_74,5,"Замечательный курс, все четко и по делу."
модуль_2,курс_1,студент_75,5,"Замечательный курс, все четко и по делу."
модуль_5,курс_1,студент_75,5,"Много практических занятий, что очень полезно."
модуль_6,курс_1,студент_75,3,"Курс неплохой, но слишком много теории."
модуль_7,курс_1,студент_75,1,"Материалы устарели, нуждаются в обновлении."
модуль_8,курс_1,студент_75,4,"Преподаватели супер, материал изложен доступно."
модуль_9,курс_1,студент_75,3,"Курс неплохой, но слишком много теории."
модуль_10,курс_1,студент_75,4,"Преподаватели супер, материал изложен доступно."
